Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_ClickUpdate_Delete,Chrome 71.0.3578.98,,2019-02-04 11:50:33,2019-02-04 11:51:59,1m - 25.419s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-02-04 11:50:34,2019-02-04 11:50:49,14.849s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-02-04 11:50:34,2019-02-04 11:50:49,14.266s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Select_Screen,Chrome 71.0.3578.98,,2019-02-04 11:50:49,2019-02-04 11:50:53,4.298s,PASSED
"click(findTestObject(""NE_SideMenu""))",Chrome 71.0.3578.98,,2019-02-04 11:50:49,2019-02-04 11:50:50,1.139s,PASSED
"click(findTestObject(""NE_EventGroupManagement""))",Chrome 71.0.3578.98,,2019-02-04 11:50:50,2019-02-04 11:50:50,0.093s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 11:50:50,2019-02-04 11:50:51,0.622s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:50:51,2019-02-04 11:50:53,2.051s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:50:53,2019-02-04 11:51:06,12.949s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:50:53,2019-02-04 11:51:04,10.630s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:04,2019-02-04 11:51:06,2.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:06,2019-02-04 11:51:17,11.646s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:06,2019-02-04 11:51:15,9.621s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:15,2019-02-04 11:51:17,2.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:17,2019-02-04 11:51:29,11.514s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:17,2019-02-04 11:51:27,9.494s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:27,2019-02-04 11:51:29,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:29,2019-02-04 11:51:31,2.150s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:29,2019-02-04 11:51:29,0.141s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:29,2019-02-04 11:51:31,2.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:31,2019-02-04 11:51:43,11.635s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:31,2019-02-04 11:51:41,9.620s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:41,2019-02-04 11:51:43,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:43,2019-02-04 11:51:54,11.676s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:43,2019-02-04 11:51:52,9.657s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:52,2019-02-04 11:51:54,2.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:54,2019-02-04 11:51:57,2.115s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:55,2019-02-04 11:51:55,0.083s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 11:51:55,2019-02-04 11:51:57,2.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-02-04 11:51:57,2019-02-04 11:51:59,2.149s,PASSED
"pk_Functions.CS_ClickingonUpdateorDeletebutton.SelectRecordFromWebtableFun(delete, 0, 3, ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", code)",Chrome 71.0.3578.98,,2019-02-04 11:51:57,2019-02-04 11:51:57,0.106s,PASSED
