Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),Chrome 71.0.3578.98,,2019-01-22 16:58:57,2019-01-22 17:01:08,2m - 10.943s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-22 16:58:58,2019-01-22 16:59:14,15.939s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-22 16:58:58,2019-01-22 16:59:14,15.484s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:14,2019-01-22 16:59:27,13.360s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-22 16:59:14,2019-01-22 16:59:26,11.860s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 16:59:26,2019-01-22 16:59:27,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:27,2019-01-22 16:59:35,8.037s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-22 16:59:27,2019-01-22 16:59:34,6.995s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 16:59:34,2019-01-22 16:59:35,1.004s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:35,2019-01-22 16:59:43,8.047s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-22 16:59:35,2019-01-22 16:59:42,7.014s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 16:59:42,2019-01-22 16:59:43,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:43,2019-01-22 16:59:52,8.083s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-22 16:59:43,2019-01-22 16:59:51,7.079s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 16:59:51,2019-01-22 16:59:52,1.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:52,2019-01-22 16:59:59,7.989s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-22 16:59:52,2019-01-22 16:59:58,6.979s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 16:59:58,2019-01-22 16:59:59,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-22 16:59:59,2019-01-22 17:00:02,2.497s,PASSED
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:00:00,2019-01-22 17:00:00,0.192s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:00,2019-01-22 17:00:02,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:02,0.318s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:02,0.265s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:02,0.165s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:02,0.157s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:03,0.261s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:00:02,2019-01-22 17:00:03,0.247s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-22 17:00:03,2019-01-22 17:00:05,2.304s,PASSED
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:00:03,2019-01-22 17:00:03,0.291s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:03,2019-01-22 17:00:05,2.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-01-22 17:00:05,2019-01-22 17:00:18,12.712s,PASSED
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,Chrome 71.0.3578.98,,2019-01-22 17:00:05,2019-01-22 17:00:13,8.213s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:13,2019-01-22 17:00:15,2.003s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-22 17:00:15,2019-01-22 17:00:16,0.273s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:16,2019-01-22 17:00:18,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-01-22 17:00:18,2019-01-22 17:00:30,12.627s,PASSED
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,Chrome 71.0.3578.98,,2019-01-22 17:00:18,2019-01-22 17:00:26,8.354s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:26,2019-01-22 17:00:28,2.001s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-22 17:00:28,2019-01-22 17:00:28,0.245s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:28,2019-01-22 17:00:30,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-01-22 17:00:30,2019-01-22 17:00:43,12.493s,PASSED
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,Chrome 71.0.3578.98,,2019-01-22 17:00:30,2019-01-22 17:00:39,8.213s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:39,2019-01-22 17:00:41,2.001s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-22 17:00:41,2019-01-22 17:00:41,0.268s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:41,2019-01-22 17:00:43,2.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-01-22 17:00:43,2019-01-22 17:00:56,12.690s,PASSED
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,Chrome 71.0.3578.98,,2019-01-22 17:00:43,2019-01-22 17:00:51,8.320s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:51,2019-01-22 17:00:53,2.004s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-22 17:00:53,2019-01-22 17:00:54,0.215s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:00:54,2019-01-22 17:00:56,2.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete,Chrome 71.0.3578.98,,2019-01-22 17:00:56,2019-01-22 17:01:08,12.502s,PASSED
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,Chrome 71.0.3578.98,,2019-01-22 17:00:56,2019-01-22 17:01:04,8.293s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:01:04,2019-01-22 17:01:06,2.002s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-22 17:01:06,2019-01-22 17:01:06,0.178s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-22 17:01:06,2019-01-22 17:01:08,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.240s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.001s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.001s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.016s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-22 17:01:08,2019-01-22 17:01:08,0.000s,PASSED
