Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),Chrome 71.0.3578.98,,2019-01-23 16:48:42,2019-01-23 16:52:15,3m - 32.910s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-23 16:48:43,2019-01-23 16:48:59,15.895s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-23 16:48:43,2019-01-23 16:48:59,15.481s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:48:59,2019-01-23 16:49:12,12.994s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:48:59,2019-01-23 16:49:11,11.500s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:11,2019-01-23 16:49:12,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:12,2019-01-23 16:49:20,7.960s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:12,2019-01-23 16:49:19,6.944s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:19,2019-01-23 16:49:20,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:20,2019-01-23 16:49:28,8.011s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:20,2019-01-23 16:49:27,7.007s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:27,2019-01-23 16:49:28,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:28,2019-01-23 16:49:36,7.983s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:28,2019-01-23 16:49:35,6.963s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:35,2019-01-23 16:49:36,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:36,2019-01-23 16:49:44,7.936s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:36,2019-01-23 16:49:43,6.913s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:43,2019-01-23 16:49:44,1.004s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:44,2019-01-23 16:49:52,7.960s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:44,2019-01-23 16:49:51,6.942s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:51,2019-01-23 16:49:52,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:49:52,2019-01-23 16:50:00,7.991s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:49:52,2019-01-23 16:49:59,6.970s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:49:59,2019-01-23 16:50:00,1.004s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:50:00,2019-01-23 16:50:08,7.983s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:50:00,2019-01-23 16:50:07,6.957s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:50:07,2019-01-23 16:50:08,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-23 16:50:08,2019-01-23 16:50:10,2.489s,PASSED
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-23 16:50:08,2019-01-23 16:50:08,0.247s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:50:08,2019-01-23 16:50:10,2.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-23 16:50:10,2019-01-23 16:50:10,0.369s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-23 16:50:10,2019-01-23 16:50:10,0.358s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-23 16:50:10,2019-01-23 16:50:11,0.153s,ERROR
