Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),,,2019-01-27 09:25:07,2019-01-27 09:25:23,15.795s,FAILED
,,,,,,
Test Cases/TC_Login,,,2019-01-27 09:25:08,2019-01-27 09:25:10,1.451s,FAILED
pk_Functions.CS_Login.LoginFun,,,2019-01-27 09:25:09,2019-01-27 09:25:10,0.872s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:10,2019-01-27 09:25:13,3.181s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:10,2019-01-27 09:25:13,2.427s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:13,2019-01-27 09:25:14,1.235s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:13,2019-01-27 09:25:14,1.173s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:14,2019-01-27 09:25:15,1.290s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:14,2019-01-27 09:25:15,1.168s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:15,2019-01-27 09:25:16,1.148s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:15,2019-01-27 09:25:16,1.134s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:16,2019-01-27 09:25:18,1.141s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:16,2019-01-27 09:25:18,1.120s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:18,2019-01-27 09:25:19,1.125s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:18,2019-01-27 09:25:19,1.111s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:19,2019-01-27 09:25:20,1.184s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:19,2019-01-27 09:25:20,1.171s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Insert,,,2019-01-27 09:25:20,2019-01-27 09:25:21,1.082s,FAILED
pk_Functions.CS_AllPageData.AllPageDataFun,,,2019-01-27 09:25:20,2019-01-27 09:25:21,1.072s,FAILED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.270s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.031s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.015s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.022s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.079s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.013s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.018s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.009s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.042s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:21,2019-01-27 09:25:21,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:21,2019-01-27 09:25:22,0.384s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.019s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.020s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.085s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.005s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.039s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.001s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.033s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.001s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.019s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.002s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.036s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.001s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.028s,ERROR
pk_Functions.CS_SelectRecordFromWebtable_IPO.SelectRecordFromWebtableFun,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.001s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.270s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.015s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.016s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.014s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.024s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.021s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:22,2019-01-27 09:25:23,0.009s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:22,2019-01-27 09:25:22,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:23,2019-01-27 09:25:23,0.010s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:23,2019-01-27 09:25:23,0.000s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete,,,2019-01-27 09:25:23,2019-01-27 09:25:23,0.081s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,,,2019-01-27 09:25:23,2019-01-27 09:25:23,0.006s,ERROR
