Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),Chrome 71.0.3578.98,,2019-01-27 15:42:43,2019-01-27 15:45:48,3m - 4.938s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-27 15:42:43,2019-01-27 15:43:01,17.364s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-27 15:42:44,2019-01-27 15:43:01,16.893s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:01,2019-01-27 15:43:14,12.901s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:01,2019-01-27 15:43:13,11.565s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:13,2019-01-27 15:43:14,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:14,2019-01-27 15:43:22,8.035s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:14,2019-01-27 15:43:21,6.967s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:21,2019-01-27 15:43:22,1.004s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:22,2019-01-27 15:43:30,8.073s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:22,2019-01-27 15:43:29,7.070s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:29,2019-01-27 15:43:30,1.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:30,2019-01-27 15:43:38,7.951s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:30,2019-01-27 15:43:37,6.939s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:37,2019-01-27 15:43:38,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:38,2019-01-27 15:43:46,7.983s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:38,2019-01-27 15:43:45,6.966s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:45,2019-01-27 15:43:46,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:46,2019-01-27 15:43:54,8.004s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:46,2019-01-27 15:43:53,6.989s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:43:53,2019-01-27 15:43:54,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:43:54,2019-01-27 15:44:02,7.999s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:43:54,2019-01-27 15:44:01,6.983s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:44:01,2019-01-27 15:44:02,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 15:44:02,2019-01-27 15:44:10,8.025s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 15:44:02,2019-01-27 15:44:09,7.002s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 15:44:09,2019-01-27 15:44:10,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-27 15:44:10,2019-01-27 15:45:46,1m - 35.826s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-27 15:44:10,2019-01-27 15:45:46,1m - 35.572s,ERROR
,,,,,,
