Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_EGMFullScenario,Chrome 72.0.3626.109,,2019-02-19 12:58:48,2019-02-19 13:02:41,3m - 53.309s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 72.0.3626.109,This test case is used to Login to MOF website,2019-02-19 12:58:49,2019-02-19 12:59:04,15.432s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 72.0.3626.109,,2019-02-19 12:58:49,2019-02-19 12:59:03,13.822s,PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-19 12:59:03,2019-02-19 12:59:04,1.164s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Select_Screen,Chrome 72.0.3626.109,,2019-02-19 12:59:04,2019-02-19 12:59:08,4.159s,PASSED
"click(findTestObject(""NE_SideMenu""))",Chrome 72.0.3626.109,,2019-02-19 12:59:04,2019-02-19 12:59:05,1.160s,PASSED
"click(findTestObject(""NE_EventGroupManagement""))",Chrome 72.0.3626.109,,2019-02-19 12:59:05,2019-02-19 12:59:06,0.080s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 72.0.3626.109,,2019-02-19 12:59:06,2019-02-19 12:59:06,0.636s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-19 12:59:06,2019-02-19 12:59:08,2.031s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 72.0.3626.109,This test case is used to insert records in data file and it has to be connected to data file excel sheet using data binding,2019-02-19 12:59:08,2019-02-19 12:59:19,11.204s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 72.0.3626.109,,2019-02-19 12:59:08,2019-02-19 12:59:09,0.168s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 72.0.3626.109,,2019-02-19 12:59:09,2019-02-19 12:59:13,4.526s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 72.0.3626.109,,2019-02-19 12:59:13,2019-02-19 12:59:13,0.071s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:13,2019-02-19 12:59:16,3.004s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 72.0.3626.109,,2019-02-19 12:59:16,2019-02-19 12:59:16,0.152s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:16,2019-02-19 12:59:19,3.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 72.0.3626.109,This test case is used to insert records in data file and it has to be connected to data file excel sheet using data binding,2019-02-19 12:59:19,2019-02-19 12:59:29,10.040s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 72.0.3626.109,,2019-02-19 12:59:19,2019-02-19 12:59:20,0.185s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 72.0.3626.109,,2019-02-19 12:59:20,2019-02-19 12:59:23,3.586s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 72.0.3626.109,,2019-02-19 12:59:23,2019-02-19 12:59:23,0.082s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:23,2019-02-19 12:59:26,3.002s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 72.0.3626.109,,2019-02-19 12:59:26,2019-02-19 12:59:26,0.155s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:26,2019-02-19 12:59:29,3.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 72.0.3626.109,This test case is used to insert records in data file and it has to be connected to data file excel sheet using data binding,2019-02-19 12:59:29,2019-02-19 12:59:40,10.236s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 72.0.3626.109,,2019-02-19 12:59:29,2019-02-19 12:59:30,0.149s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 72.0.3626.109,,2019-02-19 12:59:30,2019-02-19 12:59:33,3.822s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 72.0.3626.109,,2019-02-19 12:59:33,2019-02-19 12:59:34,0.080s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:34,2019-02-19 12:59:37,3.004s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 72.0.3626.109,,2019-02-19 12:59:37,2019-02-19 12:59:37,0.149s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:37,2019-02-19 12:59:40,3.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 72.0.3626.109,This test case is used to insert records in data file and it has to be connected to data file excel sheet using data binding,2019-02-19 12:59:40,2019-02-19 12:59:50,10.038s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 72.0.3626.109,,2019-02-19 12:59:40,2019-02-19 12:59:40,0.204s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 72.0.3626.109,,2019-02-19 12:59:40,2019-02-19 12:59:44,3.618s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 72.0.3626.109,,2019-02-19 12:59:44,2019-02-19 12:59:44,0.068s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:44,2019-02-19 12:59:47,3.001s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 72.0.3626.109,,2019-02-19 12:59:47,2019-02-19 12:59:47,0.142s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:47,2019-02-19 12:59:50,3.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 72.0.3626.109,This test case is used to insert records in data file and it has to be connected to data file excel sheet using data binding,2019-02-19 12:59:50,2019-02-19 13:00:00,10.006s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 72.0.3626.109,,2019-02-19 12:59:50,2019-02-19 12:59:50,0.191s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 72.0.3626.109,,2019-02-19 12:59:50,2019-02-19 12:59:54,3.580s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 72.0.3626.109,,2019-02-19 12:59:54,2019-02-19 12:59:54,0.069s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:54,2019-02-19 12:59:57,3.002s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 72.0.3626.109,,2019-02-19 12:59:57,2019-02-19 12:59:57,0.147s,PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-19 12:59:57,2019-02-19 13:00:00,3.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Click on Search Button,Chrome 72.0.3626.109,,2019-02-19 13:00:00,2019-02-19 13:00:03,3.435s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Clear""))",Chrome 72.0.3626.109,,2019-02-19 13:00:00,2019-02-19 13:00:00,0.085s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-19 13:00:00,2019-02-19 13:00:02,2.004s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 72.0.3626.109,,2019-02-19 13:00:02,2019-02-19 13:00:02,0.073s,PASSED
delay(1),Chrome 72.0.3626.109,,2019-02-19 13:00:02,2019-02-19 13:00:03,1.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update_Records,Chrome 72.0.3626.109,"This test case is used to update records with ""Update Flag"" in data file and it has to be connected to data file excel sheet using data binding",2019-02-19 13:00:03,2019-02-19 13:00:29,25.427s,PASSED
"if (ActionType == ""UpdateYes"")",Chrome 72.0.3626.109,,2019-02-19 13:00:04,2019-02-19 13:00:29,25.109s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update_Records,Chrome 72.0.3626.109,"This test case is used to update records with ""Update Flag"" in data file and it has to be connected to data file excel sheet using data binding",2019-02-19 13:00:29,2019-02-19 13:00:44,15.862s,PASSED
"if (ActionType == ""UpdateYes"")",Chrome 72.0.3626.109,,2019-02-19 13:00:29,2019-02-19 13:00:44,15.845s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update_Records,Chrome 72.0.3626.109,"This test case is used to update records with ""Update Flag"" in data file and it has to be connected to data file excel sheet using data binding",2019-02-19 13:00:45,2019-02-19 13:01:00,15.666s,PASSED
"if (ActionType == ""UpdateYes"")",Chrome 72.0.3626.109,,2019-02-19 13:00:45,2019-02-19 13:01:00,15.643s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update_Records,Chrome 72.0.3626.109,"This test case is used to update records with ""Update Flag"" in data file and it has to be connected to data file excel sheet using data binding",2019-02-19 13:01:00,2019-02-19 13:01:00,0.017s,PASSED
"if (ActionType == ""UpdateYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:00,2019-02-19 13:01:00,0.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Update_Records,Chrome 72.0.3626.109,"This test case is used to update records with ""Update Flag"" in data file and it has to be connected to data file excel sheet using data binding",2019-02-19 13:01:00,2019-02-19 13:01:07,6.763s,ERROR
"if (ActionType == ""UpdateYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:00,2019-02-19 13:01:07,6.748s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_View_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.341s,PASSED
"if (ActionType == ""ViewYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_View_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.021s,PASSED
"if (ActionType == ""ViewYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_View_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.028s,PASSED
"if (ActionType == ""ViewYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.008s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_View_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.015s,PASSED
"if (ActionType == ""ViewYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_View_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.043s,PASSED
"if (ActionType == ""ViewYes"")",Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:07,0.000s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Delete_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:07,2019-02-19 13:01:13,5.964s,ERROR
if (ActionType),Chrome 72.0.3626.109,,2019-02-19 13:01:08,2019-02-19 13:01:13,5.668s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:13,2019-02-19 13:01:19,5.662s,ERROR
if (ActionType),Chrome 72.0.3626.109,,2019-02-19 13:01:13,2019-02-19 13:01:19,5.651s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:19,2019-02-19 13:01:25,5.634s,ERROR
if (ActionType),Chrome 72.0.3626.109,,2019-02-19 13:01:19,2019-02-19 13:01:25,5.624s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:25,2019-02-19 13:01:30,5.681s,ERROR
if (ActionType),Chrome 72.0.3626.109,,2019-02-19 13:01:25,2019-02-19 13:01:30,5.677s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Delete_Records,Chrome 72.0.3626.109,,2019-02-19 13:01:30,2019-02-19 13:01:36,5.865s,ERROR
if (ActionType),Chrome 72.0.3626.109,,2019-02-19 13:01:30,2019-02-19 13:01:36,5.863s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Verify_Delete and Undelete,Chrome 72.0.3626.109,This test case is used to verify deleted and undeleted records,2019-02-19 13:01:36,2019-02-19 13:01:48,11.403s,PASSED
