Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),Chrome 71.0.3578.98,,2019-01-23 16:43:07,2019-01-23 16:45:28,2m - 20.409s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-23 16:43:08,2019-01-23 16:43:22,14.273s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-23 16:43:08,2019-01-23 16:43:22,13.843s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:43:22,2019-01-23 16:43:35,13.166s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:43:22,2019-01-23 16:43:34,11.732s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:43:34,2019-01-23 16:43:35,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:43:35,2019-01-23 16:43:43,8.002s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:43:35,2019-01-23 16:43:42,6.970s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:43:42,2019-01-23 16:43:43,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:43:43,2019-01-23 16:43:51,8.014s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:43:43,2019-01-23 16:43:50,7.010s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:43:50,2019-01-23 16:43:51,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:43:51,2019-01-23 16:43:59,8.031s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:43:51,2019-01-23 16:43:58,7.007s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:43:58,2019-01-23 16:43:59,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:43:59,2019-01-23 16:44:07,7.978s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:43:59,2019-01-23 16:44:06,6.957s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:44:06,2019-01-23 16:44:07,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:44:07,2019-01-23 16:44:15,8.028s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:44:07,2019-01-23 16:44:14,7.013s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:44:14,2019-01-23 16:44:15,1.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:44:15,2019-01-23 16:44:23,7.957s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:44:15,2019-01-23 16:44:22,6.943s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:44:22,2019-01-23 16:44:23,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-23 16:44:23,2019-01-23 16:44:31,8.016s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-23 16:44:23,2019-01-23 16:44:30,6.994s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:44:30,2019-01-23 16:44:31,1.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-23 16:44:31,2019-01-23 16:44:34,2.471s,PASSED
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-23 16:44:31,2019-01-23 16:44:32,0.255s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-23 16:44:32,2019-01-23 16:44:34,2.002s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Verify_Insert,Chrome 71.0.3578.98,,2019-01-23 16:44:34,2019-01-23 16:44:34,0.435s,ERROR
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-23 16:44:34,2019-01-23 16:44:34,0.408s,FAILED
,,,,,,
